ManufacturerName,CountryName,Date,TotalVaccinations
Moderna,Czechia,2021-09-11,914144
Oxford/AstraZeneca,Czechia,2021-09-11,885607
Pfizer/BioNTech,Czechia,2021-09-11,9665146
Sinopharm/Beijing,Czechia,2021-09-11,53
Johnson&Johnson,Czechia,2021-09-12,218563
Moderna,Czechia,2021-09-12,914221
Oxford/AstraZeneca,Czechia,2021-09-12,885615
Pfizer/BioNTech,Czechia,2021-09-12,9666940
Johnson&Johnson,Czechia,2021-09-13,220042
Moderna,Czechia,2021-09-13,915060
Oxford/AstraZeneca,Czechia,2021-09-13,885681
Pfizer/BioNTech,Czechia,2021-09-13,9678868
Sinopharm/Beijing,Czechia,2021-09-13,54
Sinovac,Czechia,2021-09-13,256
Johnson&Johnson,Czechia,2021-09-14,221477
Moderna,Czechia,2021-09-14,916008
Oxford/AstraZeneca,Czechia,2021-09-14,885749
Pfizer/BioNTech,Czechia,2021-09-14,9689442
Sinovac,Czechia,2021-09-14,258
Johnson&Johnson,Czechia,2021-09-15,222795
Moderna,Czechia,2021-09-15,917048
Oxford/AstraZeneca,Czechia,2021-09-15,885824
Pfizer/BioNTech,Czechia,2021-09-15,9699486
Johnson&Johnson,Czechia,2021-09-16,224359
Moderna,Czechia,2021-09-16,917978
Oxford/AstraZeneca,Czechia,2021-09-16,885881
Pfizer/BioNTech,Czechia,2021-09-16,9709057
Sinovac,Czechia,2021-09-16,259
Johnson&Johnson,Czechia,2021-09-17,226137
Moderna,Czechia,2021-09-17,918977
Oxford/AstraZeneca,Czechia,2021-09-17,885930
Pfizer/BioNTech,Czechia,2021-09-17,9721308
Sinovac,Czechia,2021-09-17,260
Johnson&Johnson,Czechia,2021-09-18,226692
Moderna,Czechia,2021-09-18,919094
Oxford/AstraZeneca,Czechia,2021-09-18,885939
Pfizer/BioNTech,Czechia,2021-09-18,9724193
Sinopharm/Beijing,Czechia,2021-09-18,55
Sinovac,Czechia,2021-09-18,263
Johnson&Johnson,Czechia,2021-09-19,227089
Moderna,Czechia,2021-09-19,919142
Oxford/AstraZeneca,Czechia,2021-09-19,885945
Pfizer/BioNTech,Czechia,2021-09-19,9725881
Johnson&Johnson,Czechia,2021-09-20,228177
Moderna,Czechia,2021-09-20,919854
Oxford/AstraZeneca,Czechia,2021-09-20,886008
Pfizer/BioNTech,Czechia,2021-09-20,9735634
Sinopharm/Beijing,Czechia,2021-09-20,56
Johnson&Johnson,Czechia,2021-09-21,229311
Moderna,Czechia,2021-09-21,920601
Oxford/AstraZeneca,Czechia,2021-09-21,886082
Pfizer/BioNTech,Czechia,2021-09-21,9744826
Johnson&Johnson,Czechia,2021-09-22,230427
Moderna,Czechia,2021-09-22,921513
Oxford/AstraZeneca,Czechia,2021-09-22,886178
Pfizer/BioNTech,Czechia,2021-09-22,9751822
Sinopharm/Beijing,Czechia,2021-09-22,57
Sinovac,Czechia,2021-09-22,266
Johnson&Johnson,Czechia,2021-09-23,231804
Moderna,Czechia,2021-09-23,922346
Oxford/AstraZeneca,Czechia,2021-09-23,886237
Pfizer/BioNTech,Czechia,2021-09-23,9760621
Sinovac,Czechia,2021-09-23,269
Johnson&Johnson,Czechia,2021-09-24,233401
Moderna,Czechia,2021-09-24,923238
Oxford/AstraZeneca,Czechia,2021-09-24,886264
Pfizer/BioNTech,Czechia,2021-09-24,9772418
Johnson&Johnson,Czechia,2021-09-25,233935
Moderna,Czechia,2021-09-25,923336
Novavax,Czechia,2021-09-25,46
Oxford/AstraZeneca,Czechia,2021-09-25,886269
Pfizer/BioNTech,Czechia,2021-09-25,9774842
Sinopharm/Beijing,Czechia,2021-09-25,58
Johnson&Johnson,Czechia,2021-09-26,234235
Moderna,Czechia,2021-09-26,923374
Oxford/AstraZeneca,Czechia,2021-09-26,886274
Pfizer/BioNTech,Czechia,2021-09-26,9776666
Sinovac,Czechia,2021-09-26,270
Johnson&Johnson,Czechia,2021-09-27,235298
Moderna,Czechia,2021-09-27,924116
Novavax,Czechia,2021-09-27,47
Oxford/AstraZeneca,Czechia,2021-09-27,886321
Pfizer/BioNTech,Czechia,2021-09-27,9784945
Sinopharm/Beijing,Czechia,2021-09-27,59
Sinovac,Czechia,2021-09-27,272
Johnson&Johnson,Czechia,2021-09-28,235483
Moderna,Czechia,2021-09-28,924172
Novavax,Czechia,2021-09-28,48
Oxford/AstraZeneca,Czechia,2021-09-28,886331
Pfizer/BioNTech,Czechia,2021-09-28,9785603
Sinopharm/Beijing,Czechia,2021-09-28,60
Sinovac,Czechia,2021-09-28,274
Johnson&Johnson,Czechia,2021-09-29,236542
Moderna,Czechia,2021-09-29,925208
Oxford/AstraZeneca,Czechia,2021-09-29,886372
Pfizer/BioNTech,Czechia,2021-09-29,9794693
Sinovac,Czechia,2021-09-29,277
Johnson&Johnson,Czechia,2021-09-30,237689
Moderna,Czechia,2021-09-30,926508
Oxford/AstraZeneca,Czechia,2021-09-30,886410
Pfizer/BioNTech,Czechia,2021-09-30,9804477
Johnson&Johnson,Czechia,2021-10-01,238797
Moderna,Czechia,2021-10-01,927440
Oxford/AstraZeneca,Czechia,2021-10-01,886443
Pfizer/BioNTech,Czechia,2021-10-01,9815503
Sinovac,Czechia,2021-10-01,278
Johnson&Johnson,Czechia,2021-10-02,239141
Moderna,Czechia,2021-10-02,927511
Oxford/AstraZeneca,Czechia,2021-10-02,886445
Pfizer/BioNTech,Czechia,2021-10-02,9817485
Sinovac,Czechia,2021-10-02,279
Johnson&Johnson,Czechia,2021-10-03,239441
Moderna,Czechia,2021-10-03,927531
Oxford/AstraZeneca,Czechia,2021-10-03,886448
Pfizer/BioNTech,Czechia,2021-10-03,9818556
Johnson&Johnson,Czechia,2021-10-04,240270
Moderna,Czechia,2021-10-04,928441
Oxford/AstraZeneca,Czechia,2021-10-04,886469
Pfizer/BioNTech,Czechia,2021-10-04,9826388
Sinopharm/Beijing,Czechia,2021-10-04,61
Sinovac,Czechia,2021-10-04,280
Johnson&Johnson,Czechia,2021-10-05,241246
Moderna,Czechia,2021-10-05,929243
Oxford/AstraZeneca,Czechia,2021-10-05,886498
Pfizer/BioNTech,Czechia,2021-10-05,9834031
Sinopharm/Beijing,Czechia,2021-10-05,62
Sputnik V,Czechia,2021-10-05,15
Johnson&Johnson,Czechia,2021-10-06,242199
Moderna,Czechia,2021-10-06,930098
Oxford/AstraZeneca,Czechia,2021-10-06,886531
Pfizer/BioNTech,Czechia,2021-10-06,9842595
Sinovac,Czechia,2021-10-06,283
Johnson&Johnson,Czechia,2021-10-07,243154
Moderna,Czechia,2021-10-07,931151
Oxford/AstraZeneca,Czechia,2021-10-07,886569
Pfizer/BioNTech,Czechia,2021-10-07,9850578
Johnson&Johnson,Czechia,2021-10-08,244410
Moderna,Czechia,2021-10-08,932104
Oxford/AstraZeneca,Czechia,2021-10-08,886593
Pfizer/BioNTech,Czechia,2021-10-08,9862499
Sinovac,Czechia,2021-10-08,286
Johnson&Johnson,Czechia,2021-10-09,244792
Moderna,Czechia,2021-10-09,932173
Oxford/AstraZeneca,Czechia,2021-10-09,886598
Pfizer/BioNTech,Czechia,2021-10-09,9865057
Johnson&Johnson,Czechia,2021-10-10,245050
Moderna,Czechia,2021-10-10,932194
Oxford/AstraZeneca,Czechia,2021-10-10,886601
Pfizer/BioNTech,Czechia,2021-10-10,9866562
Johnson&Johnson,Czechia,2021-10-11,245766
Moderna,Czechia,2021-10-11,933029
Oxford/AstraZeneca,Czechia,2021-10-11,886648
Pfizer/BioNTech,Czechia,2021-10-11,9874291
Sinovac,Czechia,2021-10-11,287
Johnson&Johnson,Czechia,2021-10-12,246486
Moderna,Czechia,2021-10-12,934031
Oxford/AstraZeneca,Czechia,2021-10-12,886690
Pfizer/BioNTech,Czechia,2021-10-12,9882229
Sinopharm/Beijing,Czechia,2021-10-12,63
Sinovac,Czechia,2021-10-12,288
Johnson&Johnson,Czechia,2021-10-13,247400
Moderna,Czechia,2021-10-13,934914
Oxford/AstraZeneca,Czechia,2021-10-13,886718
Pfizer/BioNTech,Czechia,2021-10-13,9891639
Sinopharm/Beijing,Czechia,2021-10-13,64
Johnson&Johnson,Czechia,2021-10-14,248539
Moderna,Czechia,2021-10-14,935810
Oxford/AstraZeneca,Czechia,2021-10-14,886726
Pfizer/BioNTech,Czechia,2021-10-14,9901871
Johnson&Johnson,Czechia,2021-10-15,249902
Moderna,Czechia,2021-10-15,936792
Novavax,Czechia,2021-10-15,49
Oxford/AstraZeneca,Czechia,2021-10-15,886733
Pfizer/BioNTech,Czechia,2021-10-15,9914668
Sinovac,Czechia,2021-10-15,290
Johnson&Johnson,Czechia,2021-10-16,250384
Moderna,Czechia,2021-10-16,936841
Novavax,Czechia,2021-10-16,50
Oxford/AstraZeneca,Czechia,2021-10-16,886741
Pfizer/BioNTech,Czechia,2021-10-16,9917702
Sinopharm/Beijing,Czechia,2021-10-16,65
Johnson&Johnson,Czechia,2021-10-17,250927
Moderna,Czechia,2021-10-17,936918
Oxford/AstraZeneca,Czechia,2021-10-17,886742
Pfizer/BioNTech,Czechia,2021-10-17,9919498
Sinovac,Czechia,2021-10-17,292
Johnson&Johnson,Czechia,2021-10-18,252019
Moderna,Czechia,2021-10-18,937890
Novavax,Czechia,2021-10-18,51
Oxford/AstraZeneca,Czechia,2021-10-18,886783
Pfizer/BioNTech,Czechia,2021-10-18,9931737
Sinovac,Czechia,2021-10-18,297
Johnson&Johnson,Czechia,2021-10-19,253029
Moderna,Czechia,2021-10-19,939273
Oxford/AstraZeneca,Czechia,2021-10-19,886813
Pfizer/BioNTech,Czechia,2021-10-19,9944973
Johnson&Johnson,Czechia,2021-10-20,254461
Moderna,Czechia,2021-10-20,940978
Oxford/AstraZeneca,Czechia,2021-10-20,886849
Pfizer/BioNTech,Czechia,2021-10-20,9964783
Sinovac,Czechia,2021-10-20,301
Johnson&Johnson,Czechia,2021-10-21,256711
Moderna,Czechia,2021-10-21,943465
Oxford/AstraZeneca,Czechia,2021-10-21,886872
Pfizer/BioNTech,Czechia,2021-10-21,9988772
Sinopharm/Beijing,Czechia,2021-10-21,66
Sinovac,Czechia,2021-10-21,303
Johnson&Johnson,Czechia,2021-10-22,259532
Moderna,Czechia,2021-10-22,945494
Oxford/AstraZeneca,Czechia,2021-10-22,886888
Pfizer/BioNTech,Czechia,2021-10-22,10016932
Johnson&Johnson,Czechia,2021-10-23,260887
Moderna,Czechia,2021-10-23,945782
Oxford/AstraZeneca,Czechia,2021-10-23,886893
Pfizer/BioNTech,Czechia,2021-10-23,10023510
Sinovac,Czechia,2021-10-23,304
Johnson&Johnson,Czechia,2021-10-24,262148
Moderna,Czechia,2021-10-24,945846
Oxford/AstraZeneca,Czechia,2021-10-24,886895
Pfizer/BioNTech,Czechia,2021-10-24,10027913
Sinopharm/Beijing,Czechia,2021-10-24,67
Johnson&Johnson,Czechia,2021-10-25,265310
Moderna,Czechia,2021-10-25,948322
Oxford/AstraZeneca,Czechia,2021-10-25,886924
Pfizer/BioNTech,Czechia,2021-10-25,10055331
Sinovac,Czechia,2021-10-25,305
Johnson&Johnson,Czechia,2021-10-26,269416
Moderna,Czechia,2021-10-26,951020
Oxford/AstraZeneca,Czechia,2021-10-26,886973
Pfizer/BioNTech,Czechia,2021-10-26,10085475
Sinovac,Czechia,2021-10-26,306
Johnson&Johnson,Czechia,2021-10-27,273663
Moderna,Czechia,2021-10-27,955154
Oxford/AstraZeneca,Czechia,2021-10-27,887032
Pfizer/BioNTech,Czechia,2021-10-27,10121239
Sinovac,Czechia,2021-10-27,309
Johnson&Johnson,Czechia,2021-10-28,274881
Moderna,Czechia,2021-10-28,955561
Oxford/AstraZeneca,Czechia,2021-10-28,887040
Pfizer/BioNTech,Czechia,2021-10-28,10127806
Sinopharm/Beijing,Czechia,2021-10-28,68
Johnson&Johnson,Czechia,2021-10-29,279018
Moderna,Czechia,2021-10-29,958080
Novavax,Czechia,2021-10-29,52
Oxford/AstraZeneca,Czechia,2021-10-29,887092
Pfizer/BioNTech,Czechia,2021-10-29,10158450
Sinovac,Czechia,2021-10-29,311
Johnson&Johnson,Czechia,2021-10-30,281027
Moderna,Czechia,2021-10-30,958235
Oxford/AstraZeneca,Czechia,2021-10-30,887096
Pfizer/BioNTech,Czechia,2021-10-30,10165602
Johnson&Johnson,Czechia,2021-10-31,282689
Moderna,Czechia,2021-10-31,958289
Oxford/AstraZeneca,Czechia,2021-10-31,887099
Pfizer/BioNTech,Czechia,2021-10-31,10172195
Johnson&Johnson,Czechia,2021-11-01,287362
Moderna,Czechia,2021-11-01,961888
Oxford/AstraZeneca,Czechia,2021-11-01,887115
Pfizer/BioNTech,Czechia,2021-11-01,10204085
Sinovac,Czechia,2021-11-01,312
Johnson&Johnson,Czechia,2021-11-02,292183
Moderna,Czechia,2021-11-02,965907
Oxford/AstraZeneca,Czechia,2021-11-02,887127
Pfizer/BioNTech,Czechia,2021-11-02,10238937
Sinovac,Czechia,2021-11-02,313
Johnson&Johnson,Czechia,2021-11-03,296379
Moderna,Czechia,2021-11-03,971232
Oxford/AstraZeneca,Czechia,2021-11-03,887140
Pfizer/BioNTech,Czechia,2021-11-03,10280015
Sinopharm/Beijing,Czechia,2021-11-03,69
Sinovac,Czechia,2021-11-03,316
Sputnik V,Czechia,2021-11-03,16
Johnson&Johnson,Czechia,2021-11-04,301441
Moderna,Czechia,2021-11-04,977386
Oxford/AstraZeneca,Czechia,2021-11-04,887147
Pfizer/BioNTech,Czechia,2021-11-04,10321433
Sinovac,Czechia,2021-11-04,318
Johnson&Johnson,Czechia,2021-11-05,308251
Moderna,Czechia,2021-11-05,983047
Novavax,Czechia,2021-11-05,53
Oxford/AstraZeneca,Czechia,2021-11-05,887159
Pfizer/BioNTech,Czechia,2021-11-05,10367235
Johnson&Johnson,Czechia,2021-11-06,310310
Moderna,Czechia,2021-11-06,983663
Oxford/AstraZeneca,Czechia,2021-11-06,887163
Pfizer/BioNTech,Czechia,2021-11-06,10378903
Sinovac,Czechia,2021-11-06,319
Johnson&Johnson,Czechia,2021-11-07,311954
Moderna,Czechia,2021-11-07,983876
Oxford/AstraZeneca,Czechia,2021-11-07,887165
Pfizer/BioNTech,Czechia,2021-11-07,10386544
Johnson&Johnson,Czechia,2021-11-08,316458
Moderna,Czechia,2021-11-08,988098
Oxford/AstraZeneca,Czechia,2021-11-08,887176
Pfizer/BioNTech,Czechia,2021-11-08,10422495
Sinovac,Czechia,2021-11-08,320
Johnson&Johnson,Czechia,2021-11-09,321159
Moderna,Czechia,2021-11-09,993601
Oxford/AstraZeneca,Czechia,2021-11-09,887182
Pfizer/BioNTech,Czechia,2021-11-09,10457970
Johnson&Johnson,Czechia,2021-11-10,325136
Moderna,Czechia,2021-11-10,999001
Oxford/AstraZeneca,Czechia,2021-11-10,887189
Pfizer/BioNTech,Czechia,2021-11-10,10496545
Sinovac,Czechia,2021-11-10,324
Johnson&Johnson,Czechia,2021-11-11,329497
Moderna,Czechia,2021-11-11,1004345
Oxford/AstraZeneca,Czechia,2021-11-11,887200
Pfizer/BioNTech,Czechia,2021-11-11,10534783
Sinopharm/Beijing,Czechia,2021-11-11,70
Sinovac,Czechia,2021-11-11,326
Johnson&Johnson,Czechia,2021-11-12,335214
Moderna,Czechia,2021-11-12,1008820
Oxford/AstraZeneca,Czechia,2021-11-12,887214
Pfizer/BioNTech,Czechia,2021-11-12,10579050
Johnson&Johnson,Czechia,2021-11-13,337091
Moderna,Czechia,2021-11-13,1009328
Oxford/AstraZeneca,Czechia,2021-11-13,887221
Pfizer/BioNTech,Czechia,2021-11-13,10589821
Johnson&Johnson,Czechia,2021-11-14,338697
Moderna,Czechia,2021-11-14,1009479
Oxford/AstraZeneca,Czechia,2021-11-14,887225
Pfizer/BioNTech,Czechia,2021-11-14,10597032
Sinopharm/Beijing,Czechia,2021-11-14,72
Johnson&Johnson,Czechia,2021-11-15,343033
Moderna,Czechia,2021-11-15,1013843
Oxford/AstraZeneca,Czechia,2021-11-15,887241
Pfizer/BioNTech,Czechia,2021-11-15,10632406
Sinovac,Czechia,2021-11-15,327
Johnson&Johnson,Czechia,2021-11-16,347596
Moderna,Czechia,2021-11-16,1019733
Oxford/AstraZeneca,Czechia,2021-11-16,887252
Pfizer/BioNTech,Czechia,2021-11-16,10674045
Sinovac,Czechia,2021-11-16,330
Johnson&Johnson,Czechia,2021-11-17,348871
Moderna,Czechia,2021-11-17,1020518
Oxford/AstraZeneca,Czechia,2021-11-17,887264
Pfizer/BioNTech,Czechia,2021-11-17,10683062
Sinopharm/Beijing,Czechia,2021-11-17,73
Sinovac,Czechia,2021-11-17,331
Johnson&Johnson,Czechia,2021-11-18,353879
Moderna,Czechia,2021-11-18,1026306
Oxford/AstraZeneca,Czechia,2021-11-18,887272
Pfizer/BioNTech,Czechia,2021-11-18,10724164
Sinovac,Czechia,2021-11-18,333
Johnson&Johnson,Czechia,2021-11-19,359964
Moderna,Czechia,2021-11-19,1031994
Novavax,Czechia,2021-11-19,54
Oxford/AstraZeneca,Czechia,2021-11-19,887284
Pfizer/BioNTech,Czechia,2021-11-19,10773401
Johnson&Johnson,Czechia,2021-11-20,362315
Moderna,Czechia,2021-11-20,1032731
Oxford/AstraZeneca,Czechia,2021-11-20,887286
Pfizer/BioNTech,Czechia,2021-11-20,10787136
Johnson&Johnson,Czechia,2021-11-21,364098
Moderna,Czechia,2021-11-21,1033240
Oxford/AstraZeneca,Czechia,2021-11-21,887289
Pfizer/BioNTech,Czechia,2021-11-21,10796621
Johnson&Johnson,Czechia,2021-11-22,368410
Moderna,Czechia,2021-11-22,1038039
Oxford/AstraZeneca,Czechia,2021-11-22,887297
Pfizer/BioNTech,Czechia,2021-11-22,10838493
Sinovac,Czechia,2021-11-22,337
Johnson&Johnson,Czechia,2021-11-23,372148
Moderna,Czechia,2021-11-23,1045337
Oxford/AstraZeneca,Czechia,2021-11-23,887308
Pfizer/BioNTech,Czechia,2021-11-23,10884743
Sinovac,Czechia,2021-11-23,338
Johnson&Johnson,Czechia,2021-11-24,375836
Moderna,Czechia,2021-11-24,1052484
Oxford/AstraZeneca,Czechia,2021-11-24,887331
Pfizer/BioNTech,Czechia,2021-11-24,10934196
Sinovac,Czechia,2021-11-24,339
Johnson&Johnson,Czechia,2021-11-25,379338
Moderna,Czechia,2021-11-25,1060204
Oxford/AstraZeneca,Czechia,2021-11-25,887335
Pfizer/BioNTech,Czechia,2021-11-25,10987157
Sinovac,Czechia,2021-11-25,341
Johnson&Johnson,Czechia,2021-11-26,383509
Moderna,Czechia,2021-11-26,1067792
Novavax,Czechia,2021-11-26,55
Oxford/AstraZeneca,Czechia,2021-11-26,887341
Pfizer/BioNTech,Czechia,2021-11-26,11046910
Johnson&Johnson,Czechia,2021-11-27,385049
Moderna,Czechia,2021-11-27,1069033
Oxford/AstraZeneca,Czechia,2021-11-27,887346
Pfizer/BioNTech,Czechia,2021-11-27,11063586
Johnson&Johnson,Czechia,2021-11-28,385916
Moderna,Czechia,2021-11-28,1069818
Oxford/AstraZeneca,Czechia,2021-11-28,887349
Pfizer/BioNTech,Czechia,2021-11-28,11074538
Johnson&Johnson,Czechia,2021-11-29,388280
Moderna,Czechia,2021-11-29,1077307
Oxford/AstraZeneca,Czechia,2021-11-29,887368
Pfizer/BioNTech,Czechia,2021-11-29,11130298
Sinovac,Czechia,2021-11-29,342
Johnson&Johnson,Czechia,2021-11-30,390279
Moderna,Czechia,2021-11-30,1087942
Oxford/AstraZeneca,Czechia,2021-11-30,887377
Pfizer/BioNTech,Czechia,2021-11-30,11191459
Johnson&Johnson,Czechia,2021-12-01,392120
Moderna,Czechia,2021-12-01,1100867
Oxford/AstraZeneca,Czechia,2021-12-01,887391
Pfizer/BioNTech,Czechia,2021-12-01,11265636
Sinovac,Czechia,2021-12-01,345
Johnson&Johnson,Czechia,2021-12-02,393948
Moderna,Czechia,2021-12-02,1115263
Oxford/AstraZeneca,Czechia,2021-12-02,887400
Pfizer/BioNTech,Czechia,2021-12-02,11344042
Sinovac,Czechia,2021-12-02,348
Johnson&Johnson,Czechia,2021-12-03,395998
Moderna,Czechia,2021-12-03,1129040
Oxford/AstraZeneca,Czechia,2021-12-03,887405
Pfizer/BioNTech,Czechia,2021-12-03,11427376
Sinovac,Czechia,2021-12-03,349
Johnson&Johnson,Czechia,2021-12-04,396648
Moderna,Czechia,2021-12-04,1131218
Oxford/AstraZeneca,Czechia,2021-12-04,887406
Pfizer/BioNTech,Czechia,2021-12-04,11456977
Sinovac,Czechia,2021-12-04,350
Johnson&Johnson,Czechia,2021-12-05,396986
Moderna,Czechia,2021-12-05,1132396
Oxford/AstraZeneca,Czechia,2021-12-05,887408
Pfizer/BioNTech,Czechia,2021-12-05,11477905
Johnson&Johnson,Czechia,2021-12-06,398091
Moderna,Czechia,2021-12-06,1142663
Oxford/AstraZeneca,Czechia,2021-12-06,887421
Pfizer/BioNTech,Czechia,2021-12-06,11552049
Sinopharm/Beijing,Czechia,2021-12-06,74
Sinovac,Czechia,2021-12-06,351
Sputnik V,Czechia,2021-12-06,17
Johnson&Johnson,Czechia,2021-12-07,399039
Moderna,Czechia,2021-12-07,1156379
Oxford/AstraZeneca,Czechia,2021-12-07,887443
Pfizer/BioNTech,Czechia,2021-12-07,11634442
Johnson&Johnson,Czechia,2021-12-08,399916
Moderna,Czechia,2021-12-08,1170684
Oxford/AstraZeneca,Czechia,2021-12-08,887449
Pfizer/BioNTech,Czechia,2021-12-08,11714553
Sinovac,Czechia,2021-12-08,352
Johnson&Johnson,Czechia,2021-12-09,400621
Moderna,Czechia,2021-12-09,1185557
Oxford/AstraZeneca,Czechia,2021-12-09,887454
Pfizer/BioNTech,Czechia,2021-12-09,11799343
Johnson&Johnson,Czechia,2021-12-10,401482
Moderna,Czechia,2021-12-10,1199238
Oxford/AstraZeneca,Czechia,2021-12-10,887462
Pfizer/BioNTech,Czechia,2021-12-10,11885234
Sinovac,Czechia,2021-12-10,353
Johnson&Johnson,Czechia,2021-12-11,401733
Moderna,Czechia,2021-12-11,1201317
Oxford/AstraZeneca,Czechia,2021-12-11,887463
Pfizer/BioNTech,Czechia,2021-12-11,11915645
Johnson&Johnson,Czechia,2021-12-12,401903
Moderna,Czechia,2021-12-12,1202339
Oxford/AstraZeneca,Czechia,2021-12-12,887465
Pfizer/BioNTech,Czechia,2021-12-12,11936094
Johnson&Johnson,Czechia,2021-12-13,402328
Moderna,Czechia,2021-12-13,1211489
Oxford/AstraZeneca,Czechia,2021-12-13,887470
Pfizer/BioNTech,Czechia,2021-12-13,12006498
Johnson&Johnson,Czechia,2021-12-14,402870
Moderna,Czechia,2021-12-14,1225346
Oxford/AstraZeneca,Czechia,2021-12-14,887480
Pfizer/BioNTech,Czechia,2021-12-14,12084907
Johnson&Johnson,Czechia,2021-12-15,403342
Moderna,Czechia,2021-12-15,1238336
Oxford/AstraZeneca,Czechia,2021-12-15,887491
Pfizer/BioNTech,Czechia,2021-12-15,12164585
Sinopharm/Beijing,Czechia,2021-12-15,76
Covaxin,Czechia,2021-12-16,10
Johnson&Johnson,Czechia,2021-12-16,403819
Moderna,Czechia,2021-12-16,1253334
Oxford/AstraZeneca,Czechia,2021-12-16,887495
Pfizer/BioNTech,Czechia,2021-12-16,12245338
Sinovac,Czechia,2021-12-16,354
Johnson&Johnson,Czechia,2021-12-17,404269
Moderna,Czechia,2021-12-17,1266140
Novavax,Czechia,2021-12-17,56
Oxford/AstraZeneca,Czechia,2021-12-17,887503
Pfizer/BioNTech,Czechia,2021-12-17,12331476
Johnson&Johnson,Czechia,2021-12-18,404460
Moderna,Czechia,2021-12-18,1268607
Oxford/AstraZeneca,Czechia,2021-12-18,887506
Pfizer/BioNTech,Czechia,2021-12-18,12362356
Johnson&Johnson,Czechia,2021-12-19,404551
Moderna,Czechia,2021-12-19,1270378
Pfizer/BioNTech,Czechia,2021-12-19,12382839
Johnson&Johnson,Czechia,2021-12-20,404918
Moderna,Czechia,2021-12-20,1280396
Oxford/AstraZeneca,Czechia,2021-12-20,887511
Pfizer/BioNTech,Czechia,2021-12-20,12457369
Sinovac,Czechia,2021-12-20,355
Johnson&Johnson,Czechia,2021-12-21,405271
Moderna,Czechia,2021-12-21,1292230
Oxford/AstraZeneca,Czechia,2021-12-21,887518
Pfizer/BioNTech,Czechia,2021-12-21,12532962
Sinovac,Czechia,2021-12-21,356
Johnson&Johnson,Czechia,2021-12-22,405553
Moderna,Czechia,2021-12-22,1301886
Oxford/AstraZeneca,Czechia,2021-12-22,887520
Pfizer/BioNTech,Czechia,2021-12-22,12598784
Johnson&Johnson,Czechia,2021-12-23,405764
Moderna,Czechia,2021-12-23,1305654
Oxford/AstraZeneca,Czechia,2021-12-23,887523
Pfizer/BioNTech,Czechia,2021-12-23,12630656
Johnson&Johnson,Czechia,2021-12-24,405777
Moderna,Czechia,2021-12-24,1305758
Oxford/AstraZeneca,Czechia,2021-12-24,887525
Pfizer/BioNTech,Czechia,2021-12-24,12631119
Moderna,Czechia,2021-12-25,1305780
Pfizer/BioNTech,Czechia,2021-12-25,12631142
Moderna,Czechia,2021-12-26,1305956
Pfizer/BioNTech,Czechia,2021-12-26,12632272
Johnson&Johnson,Czechia,2021-12-27,405988
Moderna,Czechia,2021-12-27,1313125
Pfizer/BioNTech,Czechia,2021-12-27,12687920
Johnson&Johnson,Czechia,2021-12-28,406193
Moderna,Czechia,2021-12-28,1321955
Oxford/AstraZeneca,Czechia,2021-12-28,887527
Pfizer/BioNTech,Czechia,2021-12-28,12750478
Johnson&Johnson,Czechia,2021-12-29,406417
Moderna,Czechia,2021-12-29,1330929
Oxford/AstraZeneca,Czechia,2021-12-29,887531
Pfizer/BioNTech,Czechia,2021-12-29,12809830
Sinovac,Czechia,2021-12-29,359
Johnson&Johnson,Czechia,2021-12-30,406564
Moderna,Czechia,2021-12-30,1337117
Pfizer/BioNTech,Czechia,2021-12-30,12856810
Johnson&Johnson,Czechia,2021-12-31,406599
Moderna,Czechia,2021-12-31,1337764
Pfizer/BioNTech,Czechia,2021-12-31,12867094
Johnson&Johnson,Czechia,2022-01-01,406605
Moderna,Czechia,2022-01-01,1337778
Pfizer/BioNTech,Czechia,2022-01-01,12867143
Johnson&Johnson,Czechia,2022-01-02,406648
Moderna,Czechia,2022-01-02,1339224
Oxford/AstraZeneca,Czechia,2022-01-02,887532
Pfizer/BioNTech,Czechia,2022-01-02,12880920
Johnson&Johnson,Czechia,2022-01-03,406882
Moderna,Czechia,2022-01-03,1348056
Oxford/AstraZeneca,Czechia,2022-01-03,887540
Pfizer/BioNTech,Czechia,2022-01-03,12943932
Johnson&Johnson,Czechia,2022-01-04,407144
Moderna,Czechia,2022-01-04,1360225
Novavax,Czechia,2022-01-04,57
Oxford/AstraZeneca,Czechia,2022-01-04,887547
Pfizer/BioNTech,Czechia,2022-01-04,13020758
Johnson&Johnson,Czechia,2022-01-05,407386
Moderna,Czechia,2022-01-05,1372895
Oxford/AstraZeneca,Czechia,2022-01-05,887558
Pfizer/BioNTech,Czechia,2022-01-05,13102278
Sinovac,Czechia,2022-01-05,360
Johnson&Johnson,Czechia,2022-01-06,407592
Moderna,Czechia,2022-01-06,1387071
Oxford/AstraZeneca,Czechia,2022-01-06,887569
Pfizer/BioNTech,Czechia,2022-01-06,13189780
Johnson&Johnson,Czechia,2022-01-07,407933
Moderna,Czechia,2022-01-07,1403828
Oxford/AstraZeneca,Czechia,2022-01-07,887590
Pfizer/BioNTech,Czechia,2022-01-07,13284528
Johnson&Johnson,Czechia,2022-01-08,408030
Moderna,Czechia,2022-01-08,1407305
Oxford/AstraZeneca,Czechia,2022-01-08,887592
Pfizer/BioNTech,Czechia,2022-01-08,13315397
Johnson&Johnson,Czechia,2022-01-09,408104
